
央视高清,#genre#
CCTV10,http://jscbn.hw-cdn.gitv.tv/gitv_escape/G_CCTV-10-HQ/G_CCTV-10-HQ.m3u8
CCTV11,http://ahcbn.ali-cdn.gitv.tv/gitv_escape/CCTV-11/CCTV-11.m3u8
CCTV11,http://hicbn.ali-cdn.yst.963999.com/gitv_escape/CCTV-11/CCTV-11.m3u8
CCTV11,http://hacbn.ks-cdn.henancatv.com/gitv_escape/CCTV-11/CCTV-11.m3u8
CCTV11,http://jscbn.hw-cdn.gitv.tv/gitv_escape/CCTV-11/CCTV-11.m3u8
CCTV12,http://ahcbn.ali-cdn.gitv.tv/gitv_escape/G_CCTV-12-HQ/G_CCTV-12-HQ.m3u8
CCTV12,http://hicbn.ali-cdn.yst.963999.com/gitv_escape/G_CCTV-12-HQ/G_CCTV-12-HQ.m3u8
CCTV12,http://hacbn.ks-cdn.henancatv.com/gitv_escape/G_CCTV-12-HQ/G_CCTV-12-HQ.m3u8
CCTV12,http://lncbn.tx-cdn.gitv.tv/gitv_escape/G_CCTV-12-HQ/G_CCTV-12-HQ.m3u8
CCTV12,http://jscbn.hw-cdn.gitv.tv/gitv_escape/G_CCTV-12-HQ/G_CCTV-12-HQ.m3u8
CCTV13,http://ahcbn.ali-cdn.gitv.tv/gitv_escape/G_CCTV-13-HQ/G_CCTV-13-HQ.m3u8
CCTV13,http://hicbn.ali-cdn.yst.963999.com/gitv_escape/G_CCTV-13-HQ/G_CCTV-13-HQ.m3u8
CCTV13,http://hacbn.ks-cdn.henancatv.com/gitv_escape/G_CCTV-13-HQ/G_CCTV-13-HQ.m3u8
CCTV13,http://lncbn.tx-cdn.gitv.tv/gitv_escape/G_CCTV-13-HQ/G_CCTV-13-HQ.m3u8
CCTV13,http://jscbn.hw-cdn.gitv.tv/gitv_escape/G_CCTV-13-HQ/G_CCTV-13-HQ.m3u8
CCTV14,http://ahcbn.ali-cdn.gitv.tv/gitv_escape/G_CCTV-14-HQ/G_CCTV-14-HQ.m3u8
